公司,联系人,地址,简介,行业,类型,规模,当前链接,上级链接,下载时间
,,,"
                    深圳通富数据是一家与银行深入合作的收单服务及专业化支付维护，以及主营3C数码产品等；注册资金高达一千万，自成立以来，银商汇坚持稳步发展，业务范围覆盖全国，累计用户超15万。我们不断升级服务，实现区域落地，进行产品联动，重视人才培训，与时代一起进步。
我们有完善的晋升机制，优秀销售人员会推荐到珠三角地区及周边主要城市担任大区经理，一方诸侯，开拓创新。
现为了深化深圳地区业务，组建更优秀的团队。特...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107163714/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:35
,,,"
                    深圳市同创依诺数码有限公司成立于2010年，是一家集生产，研发和销售数码类电子产品为一体的民营国家高科技企业。产品线涵盖平板电脑、蓝牙音箱、移动投影仪等数码产品。                                                ",,,,http://www.ganji.com/gongsi/107163713/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:35
,,,"
                    十星创立于2007年，是全球领先的电商+互联网+社区电商+研发制造为一体的先进企业，我们致力于通过数据化运营把最优质的产品，通过研发团队不断的研发和优化，实现最好的产品，最低的价格对接到每个人、每个家庭、每个组织，达到让大家用同样的货币享受更好、更丰富的生活。目前十星有1500多名员工，电商400多人，研发+互联网技术100多人，制造1000多人，占地面积2万多平方，其中电商+互联网中心占地面积4...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107163711/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:35
,,,"
                    主营电商，销售电脑主板，电脑零件，安装系统，更换电脑配件。包吃住。门店经营。                                                ",,,,http://www.ganji.com/gongsi/107163665/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:36
,,,"
                    深圳中升宏达广本4S店隶属于中升集团，中国第二大汽车经销集团，全国有400多家4S店。地处于深圳龙华区、民治、民康路1号、龙华名车广场内。                                                ",,,,http://www.ganji.com/gongsi/107163662/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:36
,,,"
                    中国太平洋保险是在1991年5月13日成立的中国太平洋保险公司的基础上组建而成的保险集团公司。总部设在上海。                                                ",,,,http://www.ganji.com/gongsi/107163660/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:37
,,,"
                    我司创立于2018年五月。2019年三月一号正式开业。属于外贸公司。现有员工十五人左右。我们主要已简单的打包，组装为准。然后出口美国。日本。英国等地区。                                                ",,,,http://www.ganji.com/gongsi/107163657/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:37
,,,"
                    深圳市嘉辉行物流有限公司（亦称“嘉辉行中港物流”）多年来专注于国内至香港进出口运输服务和货运代理业务，中港大件运输庄家。与多家著名企业为长期合作伙伴，

     公司在深圳、广州均设有仓储，香港接驳仓位于元朗，交通便利，地理条件得天独厚，能为全国各地中港进出口客户提供短期仓储，极大满足客户各种需求。拥有强大的报关清关团队和海关资源，年轻专业富有激情的服务团队，配备信息化手段--物流信息系统，...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107163627/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:38
,,,"
                    深圳市双达投资发展有限公司成立于2010年11月8日，以人为本，发展前途广阔，以专业能力为租客一族创造家一样的独立居住空间，提供安全、舒适、和谐的居住环境，主要致力打造民生住宿的专业公寓运营机构。                                                ",,,,http://www.ganji.com/gongsi/107163625/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:38
,,,"
                    敬艺福是画业厂家产品有：各类装饰画、国画、晶瓷画、手绘油画、实物装置画等  。公司常年为家具公司，设计公司，软装公司，别墅、样板房及个人家装提供画品一站式采购设计服务。                                                ",,,,http://www.ganji.com/gongsi/107163569/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:39
,,,"
                    深圳市明瞳视光科技有限公司是一家专注于青少年视力预防与控制的科技研发与服务的全国连锁经营视保科技企业。于2018年9月正式启用全面升级新品牌“瞳宝贝”进行技术升级和市场运营。并成为深圳市预防医学会眼保健专业委员会第一届成员单位。公司用效果和口碑获得“央视展播品牌”、“中国企业诚信传递”国民品牌、“510中国自主品牌”、第六届中国企业家发展年会暨2018品牌企业盛典“新时代创新品牌奖”、“最具社会责...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107163486/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:39
,,,"
                    公司成立以来发展迅速，业务不断发展壮大我公司主要经营文化艺术交流策划,市场营销策划,企业形象策划,企业营销策划,公关活动策划,品牌策划,影视策划,舞台艺术造型策划,设计、制作、代理、发布各类广告,利用自有媒体发布广告,摄影服务,礼仪服务,会务服务,展览展示服务,互联网上网服务(限分支机构经营),演出经纪,文艺创作与表演。【依法须经批准的项目,经相关部门批准后方可开展经营活动。】                                                ",,,,http://www.ganji.com/gongsi/107163388/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:39
,,,"
                    西蒙家，社区照料专家！让天下没有迟到的陪伴，亏欠的呵护！我们以“用双手改变命运，提供比客户要求更好的照料服务”为价值观核心，提供涵盖：“暖陪护，爱健康，好教育，真帮手”的16小时制社区日间照料服务。立志成为“社区照料的知名品牌”。                                                ",,,,http://www.ganji.com/gongsi/107163357/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:40
,,,"
                    深圳市拓邦电子科技股份有限公司（简称""拓邦电子""），1996年正式注册成立于有中国科技“硅谷”之称的深圳高新技术产业园内，公司曾获得“深圳知名品牌”、“深圳市自主
深圳市拓邦电子科技股份有限公司
深圳市拓邦电子科技股份有限公司
创新百强中小企业”、“中国高科技高成长50强”等荣誉。拓邦电子作为一家专注于智能控制领域的高新技术上市企业，同时也是国内最早将单片机技术应用于家电...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107163348/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:40
,,,"
                    深圳市娱灵时代文化传媒有限公司创立于2019年，是一家立足于文化传媒艺术领域的综合性文化产业企业，以通过“人民为艺术服务”达成“艺术为人民服务”，传承、提升、传播和实现艺术价值为使命，面向艺术专业全领域，传承优秀艺术文化，提升艺术价值; 在艺术大众市场，传播艺术文化价值，让艺术之美走进生活。
面对日新月异的技术发展和商业模式的变化，娱灵时代不断创新，以工匠精神推动制造和定制服务进化；以艺术数据为...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107163281/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:41
,,,"
                    是一间很有文化的公司，年轻人的时间，是一群富有朝气，和想象的人                                                ",,,,http://www.ganji.com/gongsi/107163340/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:41
,,,"
                    安子集团前身为深圳市安子新家政服务有限公司,成立于1999年4月27日，中国家庭服务业协会副会长单位，商务部核准广东省家政行业首家特许经营企业，总部位于深圳市福田区上步北路1028号多彩城酒店4楼，总部中心店位于多彩城酒店12楼，拥有20家直营分公司，68家特许加盟企业。

    集团下属安子企业咨询管理公司、安子家庭管理顾问公司、安子星级管家服务有限公司4家二级法人公司及安子居家养老中心、...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107163274/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:41
,,,"
        家家顺控股集团成立于2008年5月，总部位于深圳，从原中介巨人创辉租售集团（2004年9月两家店起步，投资5亿多元，到2007年10月仅仅三年时间在全国27个城市拥有1850家连锁网点、2万多名从业人员）的肩膀上展翅腾飞。创业初期，家家顺从接手创辉租售60余家连锁网点、400多名精英的基础上起步，发展至今，已拥有连锁网点1300余家、从业人员近2万人，在已进驻的绝大多数城市市场占有率均位居行业前列...                    [全部展开]
            ",,,,http://www.ganji.com/gongsi/107163224/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:41
,,,"
                    美誉天成（深圳）标识工程有限公司源于具有“设计之都”美誉之称的深圳，是一家结合高端标识、环境艺术、智慧科技于一体的复合型全产业链标识公司，服务的客户都是中国前五百强的知名房地产（万科集团，建发集团，金茂集团，正荣集团，禹州集团），现因业务发展需要，诚聘精英人士，期待您的加入                                                ",,,,http://www.ganji.com/gongsi/107163221/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:42
,,,"
                    易站连锁便利店，主要以零售为主。本店已经营多年，生意稳定。现诚聘营业员多名，一经录用，待遇从优，有营业经验者优先。                                                ",,,,http://www.ganji.com/gongsi/107163208/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:42
,,,"
                    深圳柏厨经销商
	柏厨是方太集团推出的高端厨柜品牌，集团成立于1996年，并率先在1999年提出”集成厨房“这一理念，经过20多年的发展与沉淀，旗下方太和柏厨两大品牌已经成为中国制造和中国品牌的典范。                                                ",,,,http://www.ganji.com/gongsi/107163201/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:42
,,,"
                    本公司为一家专业从事液晶显示屏切割厂，集生产、销售为一体的高新技术公司，拥有先进的生产、检测设备，科学的管理体系和强大的技术力量。无尘车间，环境优雅。现因发展需要，特向社会招贤纳士。                                                ",,,,http://www.ganji.com/gongsi/107163141/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:43
,,,,,,,http://www.ganji.com/gongsi/107163074/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:44
,,,,,,,http://www.ganji.com/gongsi/107163025/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:44
,,,"
                    公司是做水果连锁店的                                                ",,,,http://www.ganji.com/gongsi/107162990/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:45
,,,"
                    企业简介：
优剪是一个年轻的、新潮有趣的互联网专业剪发品牌。我们注重手艺，只做剪发，不办卡不推销，有国际顶尖大师亲自免费指导。全国门店300家以上，从业人员超千人，平均工资8500➕。

1、3到5年以上发型师从业经验，35岁以下。有培训经历，最低剪发单价50元以上。  

2、工作时间与薪资：早11:00-晚11:00（早晚两班制，每班10到11小时）月休四天，
      
3、...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162975/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:45
,,,"
                    中加美电子科技（深圳）有限公司是VEXOS GLOBAL旗下的中国大陆子公司，公司成立于2006年，专精于生产制造大屏幕彩色投影显示器用光学引擎、光源、投影屏、高清晰影管、通讯器材及PCBA组件等。属国家级重点高新技术企业，深圳市外商投资协会会员，获海关AEC证书，并连续被政府评为劳动用工守法诚信企业                                                ",,,,http://www.ganji.com/gongsi/107163080/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:45
,,,"
                    深圳市华辉物流设备有限公司（以下简称华辉公司）成立于2006年，是集叉车销售，维修租赁，物流运输，旧设备回收等一系列业务为一体的综合性物流企业。2011年，华辉公司迎来了一次全新的跨越和挑战——成为中美合资浙江美科斯叉车深圳地区的独家代理商，使得公司业务向更高的层次发展。2012年，苏州先锋物流装备科技有限公司，也授权于华辉公司，帮其开拓深圳地区的销售市场，这使得华辉公司的业务又一次得到突破，更加...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162960/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:45
,,,"
                    公司是一家营业多年的休闲中心，专为高端人士提供高端服务，客源固定稳定，欢迎你的加入。                                                ",,,,http://www.ganji.com/gongsi/107162944/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:46
,,,"
                    经营玻璃原材料、光电产品、LED显示屏、建筑及环保新材料的研发与销售；
国内贸易等的年轻企业                                                ",,,,http://www.ganji.com/gongsi/107162933/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:46
,,,"
                    综合工资4800到6500元

入职条件：
年龄 男16～42周岁 女16～45周岁 ，身体健康，双手无残疾，无奇怪发型，无明显纹身（有纹身需提前报备），学历初中（含以上）会26个英文字母。
待        遇：
月工资4800—6500（每月15日准时发放，遇节假日提前）（每天工作8小时，加班按劳动法核算）。
包吃住（大型现代化食堂，干净卫生，南北风味皆有。宿舍4-6人间 提供免费...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162926/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:47
,,,,,,,http://www.ganji.com/gongsi/107162858/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:47
,,,"
                    印前制作，设计，云拼版，打印，为印刷厂提供印前一条龙配套服务。                                                ",,,,http://www.ganji.com/gongsi/107162848/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:48
,,,"
                    主要生产兰蓝牙耳机，2010年成立
地址：龙华福城街道大水坑兆利花园厂房6楼                                                ",,,,http://www.ganji.com/gongsi/107162847/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:48
,,,"
                    深圳市金镐科技有限公司办公室地址位于中国个经济特区，鹏城深圳，深圳市宝安区广深路松岗段88号2，于2016年03月11日在深圳市市场监督管理局注册成立，在公司发展壮大的4年里，我们始终为客户提供好的产品和技术支持、健全的售后服务，我公司主要经营信息技术、电子产品、生物技术的技术开发、技术咨询、技术服务、技术转让；光电产品、太阳能产品、仪表配件、数字电视播放产品及通讯产品的技术开发及销售；国内贸易、...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162793/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:49
,,,"
                    深圳每日热点网络科技有限公司成立于2014年，是一家为广大中小企业提供移动互联网信息化咨询、微信运营方案策划和推广的网络广告公司，位于深圳高新技术产业开发区科学城。
公司致力于打造特色的企业文化，将员工的价值理念和实践行为高度统一，以“效率、专注、创意、成就”为目标，凭借高效的运营体系和持续完善的服务网络，将“专业”贯穿于公司运作和管理的每一个细节，以“促进中小企业移动网络信息化进程”为使命，致...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162791/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:49
,,,"
                    深圳市鹏丰科技贸易有限公司成立于2018年11月07日，注册地位于深圳市罗湖区东门街道湖贝旧村南坊，。经营范围包括经营电子商务;电子产品、手机、电脑及其配件、3C数码及配件的销售；数码产品及其配件、电子元器件、家居饰品、床上用品、窗帘布艺、装饰品、陶瓷、工艺品（象牙及其制品除外）、木制品、玻璃制品、灯饰的销售；灶具、厨具、家用电器及配件、塑料制品、五金制品、电线电缆及接插件的销售；信息咨询（不含人...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162779/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:49
,,,"
                    我们是一家形象设计中心                                                ",,,,http://www.ganji.com/gongsi/107162708/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:50
,,,"
                    深圳市月辉电子商务有限公司，是一家电商创业服务企业，专业为在电子商务以及社交电商平台开店的个人创业者、小微商家提供电商技术支持与培训服务，月辉电商以技术为支撑，服务为宗旨，责任为核心价值观，致力打造为中国中小企业和个人的一站式电商创业服务平台。                                                ",,,,http://www.ganji.com/gongsi/107162702/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:50
,,,"
                    公司主营快递收、派、运输等业务，19年部署全国性业务。预计一年内开通100个转运中心，1000条运营路线等。平台大，机会多。                                                ",,,,http://www.ganji.com/gongsi/107162621/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:50
,,,"
                    深圳高能供应链管理有限公司创建于2010年，是中国领先的网络服务商。经过10年，已成长为多业态的综合电子商务公司。本公司拥有现代化标准仓库3个，目前在职员工100余人。                                                ",,,,http://www.ganji.com/gongsi/107162618/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:51
,,,"
                    我们是一家综合性公司，由深圳市德圳电讯技术有限公司和深圳市亚斯康电子有限公司组成。主要从事无线射频工程及无线覆盖网络优化设计并提供相应产品的专业通信公司，是集研发、生产、 工程、服务于一体的多元化高新技术企业。主要系列信号屏蔽器， TAL系列GSM、CDMA，3G和PHS直放站、干线放大器、信号增强器和与之配套的功率分配器、耦合器、合路器以及各种天线等产品                                                ",,,,http://www.ganji.com/gongsi/107162613/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:52
,,,"
                    我们为注塑工厂提供：

      注塑机更新置换

      注塑机机械手及非标自动化设备

      注塑机辅机及配件业务

      各品牌二手注塑机，机械手，辅机等转让/处理

      注塑设备的保养维修

      注塑厂专业人才的招聘

      解决注塑工艺疑难

      注塑厂产品的展示与批发业务

为注塑业从业人员提供：

                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162590/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:52
,,,"
                    加工机械零件，治具夹具，                                                ",,,,http://www.ganji.com/gongsi/107162573/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:52
,,,"
                    深圳赛诺森科技有限公司成立于2011年，是一家专业从事医疗设备、耗材及软件等研发和推广销售的高科技公司，公司目前主营业务专注于全国血站市场。成功或即将引进多项国际先进的技术及设备，如德国SW系列冰冻血小板融化仪、快速检测血小板细菌等，同时公司代理经销日本Sysmex全自动血凝分析仪及试剂耗材、Sysmex全自动血液分析仪及试剂耗材、卢森堡Dometic平板血浆速冻机、韩国森通采血秤和热合机等，为华...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162517/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:53
,,,"
                    小型校外托管机构，小班辅导，多年从教经验，辅导小学段孩子的作业。                                                ",,,,http://www.ganji.com/gongsi/107162514/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:53
,,,"
                    深圳市新圆梦物流有限公司成立于2012年，注册资金500万，凭借专业的物流管理人才和丰富的行业经验，以汽运、铁运、空运、海运、联运等物流方式，为客户提供全方位的第三方物流及增值服务，提供整体个性化供应链解决方案、物流信息咨询等相关服务；并积极探寻客户需求，改进服务流程，致力于为客户产品提供快捷安全的物流通道，帮助客户降低成本、提高竞争力。                                                ",,,,http://www.ganji.com/gongsi/107162474/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:53
,,,"
                    铧怡装饰公司简介：深圳市铧怡装饰工程有限公司从事装饰装修行业多年，于2013年注册成立，公司总部设立在深圳宝安中心区，是一家集室内设计、预算、施工、材料于一体的专业化装饰公司，承接罗湖、福田、南山、宝安、龙岗、盐田各区室内装修装饰工程。公司汇集了大批装饰行业精英，有着创新的设计、合理的报价，科技创新的新型材料，还有一批独立的专业化的施工队伍，确保施工绿色环保，安全文明，保障装修质量，真诚的为每一位...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162430/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:54
,,,"
                    淘宝服装工作室，工作氛围轻松愉快，待遇优渥，每月有交通补贴。                                                ",,,,http://www.ganji.com/gongsi/107162396/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:54
,,,"
                    投资兴办实业；机电设备的销售；经营进出口业务。化工产品、工业原料及工业耗材的销售;石油制品、工业燃料油的销售。                                                ",,,,http://www.ganji.com/gongsi/107162304/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:55
,,,"
                    一般经营项目是：互联网信息技术的开发与咨询；网络技术推广服务；商务信息咨询、企业管理咨询；企业形象策划；市场营销策划；茶具、日用百货、工艺品、手机配件、电脑配件、电子产品、数码产品、办公设备、家用电器、汽车配件、汽车装饰品、清洁用品、灯具、照明用品、工具、五金制品、服装鞋帽、化妆品、针织品、珠宝首饰、建筑材料的批发及销售；国内贸易；货物及技术进出口；电子商务经营；，许可经营项目是：                                                ",,,,http://www.ganji.com/gongsi/107162303/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:55
,,,"
                    公司注册于019年，注册地位于深圳市龙岗区龙岗街道龙岗墟社区金城街8号102，经营方式为：通过电子商务的方式进行预包装食品等商品的销售。                                                ",,,,http://www.ganji.com/gongsi/107162265/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:55
,,,"
                    我公司属于深圳电子加工公司行业，如果您对我公司的产品服务有兴趣，期待您在线留言或者来电咨询                                                ",,,,http://www.ganji.com/gongsi/107162228/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:56
,,,"
                    深圳市赛闻斯瑞科技有限公司--专注激光工程投影机销售。主要有爱普生、松下、NEC等国际知名品牌合作渠道，为您提供优质、超乎想象的一站式服务。                                                ",,,,http://www.ganji.com/gongsi/107162195/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:57
,,,"
                    经营范围： 一般经营项目是：计算机软件、信息系统软件的技术开发、测试、销售；信息系统设计、集成、运行维护；信息技术咨询；集成电路设计、研发；经济信息咨询（不含限制项目）；贸易咨询；企业管理咨询（不含限制项目）；商务信息咨询； 集邮票品的销售及信息咨询；艺术品销售。（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）                                                ",,,,http://www.ganji.com/gongsi/107162181/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:57
,,,"
                    公司主要从事以下二方面：
一、环保的技术开发、技术服务、环境工程设计等相关生态环境方面工作。
二、从事计算机系统服务、数据处理、软件开发等IT方面工作。                                                ",,,,http://www.ganji.com/gongsi/107162174/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:58
,,,"
                    深圳市睿企管理咨询有限公司（以下简称睿企咨询），致力于为中小企业提供整个发展生命周期全方位的商务代理外包服务，力争用更优质、更专业的姿态，打造让企业更贴心、更省心、更放心的一站式企业商务综合服务供应商。业务覆盖：工商注册、财税代理、商标专利、资质认证、人力资源、政府补贴、企业管理咨询等。
愿景：
让创业更简单
Making it easier to start a business
使命：...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162172/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:58
,,,"
                    顺丰同城急送是顺丰推出新的战略级产品在面对消费升级时代“新零售”变革的大背景下打造的一项高时效物流产品，旨在为客户提供安全、可靠、高效、专业的同城即时配送运输服务。

配送物品：
    顺丰同城急送支持配送的，几乎囊括了禁寄品外的所有物品，包括文件、鲜花、蛋糕、数码零件、汽车配件、生鲜、花鸟虫鱼、古玩字画等等。

配送时效：
    顺丰同城急送时效为3公里平均30分钟送达，5公里平...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162135/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:58
,,,"
                    深圳金尚达科技有限公司位于改革开放科技创新的前沿城市—深圳，金尚达科技一家从研发、生产、销售为一体的现代化企业。成立以来，公司着重技术与创新，经过不懈努力在电子行业、薄膜行业不断开发新型便利设备，为客户提供便利与效率。公司主要经营模切卷料品检机、分切分条机、涂布模切静电除尘设备、静电消除离子风棒设备、离子风扇、模切涂布专用型静电消除器、薄膜粘尘辊轮、除尘压合棍等产品。 与国内多家大型企业深入合作，...                                                                    [全部展开]
                                                ",,,,http://www.ganji.com/gongsi/107162123/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:59
,,,"
                    深圳惠享食餐饮管理有限公司创立于2015年，总部位于深圳，是一家集膳食管理咨询；厨房设计与施工；经营电子商务；初级农产品的批发、零售；食堂经营和管理服务于一体的综合型餐饮服务企业，致力于食堂管理、集体配餐与食材供应三大业务单元，为社会各界提供安全、放心、优质的餐饮服务。                                                ",,,,http://www.ganji.com/gongsi/107162093/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:43:59
,,,"
                    主营：移动电源、数码产品、LED产品、电子元器件、电子产品的研发与销售、经营电子商务、国内贸易、货物及技术进出口                                                ",,,,http://www.ganji.com/gongsi/107161944/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:44:00
,,,,,,,http://www.ganji.com/gongsi/107161913/,http://sz.ganji.com/gongsi/o1,2020-03-08 11:44:00
