类别,来源,标题,内容,时间,当前链接,上级链接,下载时间
国际,中国新闻网,韩媒：韩国新冠肺炎确诊病例增至7134例," 
　　中新网3月8日电 据韩媒8日报道，截至目前，韩国新增367例新冠肺炎确诊病例，累计确诊病例增至7134例。

 【编辑:何路曼】 
      ",3-8 09:17,http://www.chinanews.com/gj/2020/03-08/9117556.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:38
国际,中国新闻网,巴西新增6例新冠肺炎确诊病例 累计确诊19例," 
　　(抗击新冠肺炎)巴西新增6例新冠肺炎确诊病例 累计确诊19例

　　中新社圣保罗3月7日电 (记者 莫成雄)巴西卫生部当地时间7日发布报告称，巴西当天新增6例新冠肺炎确诊病例，确诊病患由此升至19例。其中，圣保罗州13例，里约热内卢州和巴伊亚州各2例，圣埃斯皮里图州和巴西利亚联邦区各1例。

　　巴西卫生部称，当天新增病例中，5例为境外输入病例，1例为本地传播。圣保罗州新增的3位患者有意大利、美国和伊朗旅行史，为新的境外输入病例。

　　里约热内卢州确诊患者是一名52岁的妇女，她3月4日从意大利回到巴西后出现感染新冠肺炎症状。


　　巴西利亚联邦区确诊的患者为此前报告的一位首次病毒检测呈阳性的妇女，现年52岁。她6日在巴西利亚一家医院的重症监护室接受治疗及观察。7日，该患者病情危重，需要借助设备进行呼吸。

　　巴伊亚州当天新增的确诊病例是在本地传播，该患者是一名42岁的家政妇女，与该州首例确诊的46岁女性患者有密切家庭接触。这是巴西出现的第3例本地传播病患。

　　巴西卫生部称，巴西联邦政府将于下周一(9日)发布一系列新冠肺炎应对措施，包括延长卫生诊所的工作时间，制定医护人员在实施隔离和检疫时的工作准则等。目前，巴西卫生部对最近14天到访过世界上36个出现新冠肺炎疫情的国家或地区的入境者进行严格监测，其中出现发热和咳嗽或呼吸困难的人将被列为疑似病例。

　　截至7日17时，巴西新冠肺炎疑似病例为674例。其中，圣保罗州最多，达184例。此前巴西已排除602例疑似病例。(完)
 【编辑:何路曼】 
      ",3-8 09:14,http://www.chinanews.com/gj/2020/03-08/9117551.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:38
国内,中国新闻网,福建泉州一酒店坍塌续：伤者忆惊魂 家属心如焚 ," 
　　中新网泉州3月8日电 (记者 孙虹) “就一瞬间，人突然腾空了。”回想起事故发生的一刻，躺在病床上的陈先生(化名)惊魂未定，好在只是左小腿被划伤，目前并无大碍。

　　3月7日晚19时15分许，福建省泉州市鲤城区常泰街道南环路欣佳快捷酒店发生坍塌事故，导致约70人被埋。事发时，陈先生正在酒店里。“我刚洗完澡，浴巾还裹着呢，买了东西准备要吃。”



各路消防力量赶往泉州楼房坍塌事故现场。　消防供图

　　网上预订平台信息显示，该酒店于2018年6月开业，有多种类型客房共80间。据了解，酒店所在的建筑共7层，客房位于4层至6层。

　　根据附近的监控显示，酒店楼体坍塌时速度极快，大约两秒左右，周边便扬起大量灰尘。陈先生告诉记者，人一腾空，酒店的灯全灭了，周围一片漆黑，感觉自己撞到了床上。



3月8日早上8点13分，厦门消防救出被困男子。曾德猛 摄

　　危急时刻，陈先生随手抓住了床上的枕头，并尽量蜷缩自己的身体，将枕头护住自己的头部。过了一会儿，当楼体不再摇晃后，他慢慢地动了动身子，发现左腿被东西卡住，动弹不得。

　　“我慢慢地把腿挪出来，发现在流血，就用身上的浴巾包住伤口。”陈先生回忆称，周围太黑了，灰尘很多，有点呼吸不过来，“我就一点一点的把附近的东西扒开，并尝试着站起来”。



3月7日晚，福建省泉州市一快捷酒店坍塌。图为路边多辆汽车被压。　孙虹 摄

　　中新网记者7日晚间在现场看到，该酒店建筑坍塌成一片废墟，大量建筑钢材裸露在外，酒店周边路面的整排汽车被压。废墟之上，一批批救援人员穿戴防护设备进行救援，搜救犬也加入搜寻。

　　在摸索的过程中，陈先生找到了手机，并与救援人员取得联系，确定了自己的位置。“我左边的房间住着一对夫妻，都被压住了，但是感觉伤势不严重，可以正常说话。右边房间的那位男士受伤可能比较重，话都有点说不清。”

　　在等待救援时，陈先生与其他伤者互相打气，直到消防人员找到他们。“我有告诉消防员，右边那个男士受伤了，先救他。但是消防员说那时候只看得到我，就先把我救出来了。”



3月8日早上8点13分，厦门消防救出被困男子。曾德猛 摄

　　“我当时行动还可以，往前摸索了两三米，就找到了消防员扔下来的绳子，借着力慢慢地爬出了废墟。”当晚22时许，陈先生被救出，送往附近的医院治疗。

　　在泉州福建医科大学附属第二医院的急诊室门口，记者偶遇了来此寻找儿子的唐双平先生。戴着口罩的他难掩焦急的神情，到处询问是否有自己儿子的消息。



唐双平(图中)的儿子唐凡事发时在酒店值班，尚无消息。　孙虹 摄

　　原来，唐双平的儿子唐凡是泉州万祥医院的一名医生。2月中旬，欣佳快捷酒店被定为福建省外疫情重点地区来鲤城区人员的集中医学观察点。唐凡在那时被派往该酒店负责日常防疫工作，当晚正是他值班。

　　唐双平告诉记者，儿子出生于1998年，才刚工作不久。“调过去快一个月了，上一天休两天。”事发当天上午，唐凡离开家去往欣佳快捷酒店值班，岂料再无音讯。

　　当晚20时许，唐双平得知酒店出事的消息，立刻拨打了儿子的电话，却一直没有人接听。“现在已经关机了，我的手机也打得没电了，不知道该怎么办。”

　　当记者将充电宝借给唐双平时，他双手颤抖着，几次都未能将充电线插入手机。

　　截至记者发稿时，欣佳快捷酒店坍塌事故已过去12个小时，一千多名救援人员彻夜施救。3月8日5时41分，第47名被困者被救出，是一名50多岁的男性，意识清醒。

　　然而，已获救的47人中并没有唐凡，他的父亲、姑姑、朋友仍在现场附近心急如焚地继续等待。(完)
 【编辑:张燕玲】 
      ",3-8 09:12,http://www.chinanews.com/gn/2020/03-08/9117555.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:39
国际,中国新闻网,全球战疫：新冠病毒感染者数量剧增，纽约准备好了吗？," 
　　(抗击新冠肺炎)全球战疫：新冠病毒感染者数量剧增，纽约准备好了吗？

　　中新社纽约3月7日电 题：全球战疫：新冠病毒感染者数量剧增，纽约准备好了吗？

　　中新社记者 马德林

　　“展览、电影院现在都不敢去了。”正在纽约大学读书的中国留学生胡元瀞告诉记者，她最近囤积了一些食品和消毒用品，尽量减少外出。



当地时间3月4日，纽约耶希瓦大学（Yeshiva University）维尔福校区戴口罩的工作人员。中新社记者 廖攀 摄

　　3月1日纽约州确诊首例新冠病毒感染者，此后数量连日增加，到7日累计确诊89例。纽约州州长科莫当天宣布纽约州进入紧急状态。“在紧急状态下，我们可以简化采购流程。”他说，州政府将采购物资、雇佣更多人员，缓解地方卫生部门的压力。

　　此前，纽约州政府划拨4000万美元用于应对病毒；成立紧急情况行动中心和跨部门工作组，协调控制病毒的工作；科莫自2日起每天举行记者会通报州内疫情；纽约州卫生部门发布两份指南，对各医疗机构和卫生部门如何进行病毒检测，安排自我隔离、强制隔离等事项进行了说明。整个纽约州现在有约4000人被隔离。

　　威彻斯特县(Westchester County)感染情况最为严重，确诊感染者高达70名。当地多所学校已经关闭，养老院等机构停止接待访客，政府正在研究是否应关闭养老院并取消大型集会。

　　纽约市目前有11名确诊者。纽约市地铁系统从本周开始实行每日消毒，市长白思豪乘坐地铁并检查消毒情况。他曾表示纽约市暂无实行大范围居家办公的必要，但情况也许很快会发生改变。

　　纽约市公立学校加强了消毒措施，不过暂时没有学校关闭。《纽约时报》称，纽约市公校中有约75万名学生来自贫困家庭，其中11.4万名学生甚至居无定所。公校一旦关闭，这些孩子的一日三餐、医疗等都会成为问题。对于纽约市来说，关闭公校属于万不得已的“最后手段”。

　　对大多数纽约市民来说，日常生活可能尚无明显变化。一家健身房的工作人员向记者介绍，目前健身房内一天两次给所有器械、设备消毒，配置多处免洗消毒液，同时还给所有会员发送电子邮件，提醒他们注意个人健康状况。“最近我们情况一切正常。”在她和记者谈话时，健身房不断有人进出。

　　在皇后区一家大型仓储超市里，客流量与以往相比几无差异。食品和大多数日用品充足，网上曾传说被美国人“疯抢”的卫生纸也有不少存货，但消毒湿巾和洗手液已售完。销售人员告诉记者，目前还不能确定补货的确切时间，但应该就在这几天。

　　有媒体报道，曼哈顿有零售店将一瓶消毒液价格升至50美元。纽约市将对价格欺诈的商家处以500美元的罚款，州政府网站也开辟专门通道举报价格欺诈。

　　尽管官方反复强调“病毒最终一定会在纽约暴发”，但街头戴口罩的人仍然较少，佩戴者也以亚裔面孔居多。胡元瀞说，虽然看到一些亚裔遭歧视的消息，自己出门还是会戴好口罩。她非常担心一旦“中招”该如何治疗。

　　科莫和白思豪曾多次申明，当前纽约州和纽约市病毒传播的风险仍然较低。居民们不必恐慌，应保持警觉，做好清洁消毒，注意自身健康状况，如果出现症状应留在家中并与医生联系。科莫还反复强调纽约州有优质的医疗体系，能够保证居民安全。

　　与此同时，科莫和白思豪亦多次对美国疾控中心(CDC)表达不满，称CDC提供的病毒检测盒数量不足，限制了地方政府控制病毒传播的能力。他们7日先后发声，敦促CDC、美国食品药品管理局同意纽约州和纽约市开展自动化病毒检测，以提高效率。

　　据媒体统计，截至3月7日晚7点，全美至少有400例确诊感染者，纽约州确诊数量位居前三。面对疫情，纽约是否真的准备好了？人们或许将很快看到答案。(完)
 【编辑:何路曼】 
      ",3-8 09:09,http://www.chinanews.com/gj/2020/03-08/9117553.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:39
国际,中国新闻网,海外看战“疫”：中国疫情数据公开透明，有助全球早日攻克病毒," 
　　(抗击新冠肺炎)海外看战“疫”：中国疫情数据公开透明，有助全球早日攻克病毒

　　中新社伦敦3月8日电 (赵星一 刘虹)英国剑桥大学病毒学及临床微生物学教授拉温德拉·古普塔(Ravindra Gupta)近日在接受采访时表示，中国对于新冠病毒疫情相关数据的发布公开透明，有助于全球共同努力早日遏制病毒传播并完全攻克病毒。

　　古普塔教授目前在英国剑桥大学治疗免疫学和传染病学研究所担任核心研究人员，同时是惠康基金会临床科学高级研究员、古普塔实验室的负责人，多年来一直从事艾滋病病毒研究工作。

　　古普塔表示，“中国不仅对于新冠病毒疫情应对得当，而且我认为中国以公开透明的态度，与世界其他国家共享了相关新冠病毒信息和研究数据，以便全球研究人员能够共同努力遏制病毒的传播，有效掌握病毒在生物学方面的特征和遗传基因序列信息。这都是非常积极的贡献，极大助力了全球科研人员协同作战，早日攻克病毒。”


　　2017年，古普塔医学团队通过造血干细胞移植治疗了一名伦敦艾滋病患者，目前该患者在停用相关抗病毒药物后，病情已持续缓解30个月，有望成为全球第二例成功治愈的艾滋病病例。

　　长年深入非洲疫区的古普塔认为，中国政府应对新冠疫情的措施，积极有效、专业性强。既没有手软、没有不作为，又应对得当、没有引发不必要的恐慌，有效控制了疫情。“我觉得中国对疫情的应对非常好。在两三周就建起专门的救治医院，实施严格的大范围的隔离措施，有效遏制病毒传播。我觉得无可挑剔。”

　　面对除中国以外很多国家和地区疫情集中出现的情况，古普塔教授强调，中国所采取的很多应对举措都非常值得学习借鉴。身为英国病毒学研究顶尖团队成员之一的古普塔指出，英国是一个多元的社会，许多不同国籍的居民在此工作和生活。特别是与武汉相同规模的伦敦，这里人口稠密，人员来往众多，存在很大的输入性感染和大范围蔓延风险。因此，像中国一样采取严厉的防疫措施刻不容缓。

　　古普塔指出，英中两国包括世界其他国家在病毒研究方面已经携手取得了相应的进展，如果有关国家在更高层面进一步拓展合作，将会对在全球范围遏制并攻克病毒起到关键作用。

　　谈到新冠病毒疫苗何时有望问世，古普塔表示，根据近年研制成功疫苗的经验，“如果临床试验成功，必须首先保证其临床疗效和安全性，然后才能进入批量生产环节。因此，我认为至少要有六个月的时间。而在此之前，我们还有很多工作要做。”(完)
 【编辑:何路曼】 
      ",3-8 09:07,http://www.chinanews.com/gj/2020/03-08/9117552.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:39
国际,中国新闻网,世卫组织：中国境外确诊病例超2万 各国需采取强力措施," 
　　中新网3月8日电 据世卫组织新冠肺炎情况报告，截至欧洲中部时间7日10时(北京时间7日17时)，中国境外新冠肺炎确诊病例数达到21110例，死亡413例。如今，全球新冠肺炎确诊病例超过10万例，世卫组织呼吁各国采取强力措施，抑制并逆转病毒蔓延。


　　世卫组织每日疫情报告显示，截至欧洲中部时间7日10时(北京时间17时)，中国以外新冠肺炎确诊病例较前一日增加3633例，达到21110例；死亡病例较前一日增加78例，达到413例。全球范围内，新冠肺炎确诊病例比前一日增加3735例，达到101927例。

　　世卫组织呼吁所有国家继续做出努力，以有效抑制病例数量并减缓病毒传播。

　　世卫组织7日发表声明称，中国和其他国家的行动表明，可以通过采取普遍适用的措施来减缓病毒的传播并减少影响，这些行动包括：通过全社会努力来查找和治疗病人，追踪接触者，使医院和诊所做好病人剧增时的处理准备，以及培训卫生工作者。

　　同时，世卫组织还表示，将继续与所有国家、合作伙伴和专家网络合作，协调开展国际应对，制定指导方针，分发物资，分享知识，并向人们提供保护自己和他人所需的信息。
 【编辑:何路曼】 
      ",3-8 09:05,http://www.chinanews.com/gj/2020/03-08/9117550.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:40
社会,中国新闻网,北京新增2例境外输入新冠肺炎病例 治愈出院5例," 
　　中新网3月8日电 据北京卫健委官方微博消息，3月7日0时至24时，北京新增2例新冠肺炎确诊病例，1例来自意大利的境外输入病例，1例来自西班牙的境外输入病例，均已送至定点医疗机构进行救治。新增报告疑似病例3例、密切接触者87人。治愈出院患者5例，分别从市区两级定点医院出院。其中有3名男性，2名女性，年龄最小的32岁，最大的61岁。


　　截至3月7日24时，累计确诊病例428例，治愈出院病例308例，死亡病例8例。现有疑似病例27例。累计确定密切接触者3632人，其中551人尚在隔离医学观察中。确诊病例中东城区14例、西城区53例、朝阳区72例、海淀区63例、丰台区43例、石景山区14例、门头沟区3例、房山区16例、通州区19例、顺义区10例、昌平区29例、大兴区39例、怀柔区7例、密云区7例、延庆区1例，平谷区尚未有病例，外地来京病例25例，境外输入病例13例。

　　全市有12个区已连续14天以上无新增确诊病例，具体为平谷区自有疫情以来无报告病例，延庆区44天，门头沟区34天，怀柔区30天，顺义区28天，密云区25天，石景山区23天，大兴区23天，房山区20天，昌平区19天，西城区17天，通州区17天。

　　428例确诊病例中，男性病例205例，占47.9%，女性病例223例，占52.1%；年龄范围为6个月～94岁，其中5岁以下14例，占3.3%，6岁至17岁14例，占3.3%，18岁至59岁289例，占67.5%，60岁及以上111例，占25.9%。
 【编辑:朱延静】 
      ",3-8 09:04,http://www.chinanews.com/sh/2020/03-08/9117554.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:40
国内,中国新闻网,贵州省无新增确诊病例 新增治愈出院2例," 
　　中新网贵阳3月8日电 (记者 杨茜)8日，记者从贵州省卫生健康委员会获悉，3月7日12—24时，贵州省新型冠状病毒肺炎无新增确诊病例，新增治愈出院病例2例，其中：遵义市1例、毕节市1例。

　　截至3月7日24时，贵州省累计报告新型冠状病毒肺炎病例146例。其中，51例有武汉旅居史，14例有武汉外湖北其他地区旅居史，15例有湖北以外地区旅居史；治愈出院117例，在院治疗27例(轻症及普通型25例，重症2例)，死亡2例；男性74例，女性72例；年龄最大87岁，最小1个月(确诊时间)；贵阳市36例(治愈28例，死亡1例)，遵义市32例(治愈21例)，六盘水市10例(治愈8例，死亡1例)，安顺市4例(治愈4例)，毕节市23例(治愈17例)，铜仁市10例(治愈10例)，黔东南州10例(治愈10例)，黔南州17例(治愈15例)，黔西南州4例(治愈4例)。现有疑似病例2例。

　　累计追踪密切接触者2574人，已解除医学观察2489人，尚在接受医学观察13人。(完)

 【编辑:张燕玲】 
      ",3-8 09:04,http://www.chinanews.com/gn/2020/03-08/9117544.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:41
国内,中国新闻网,湖南编成《新型冠状病毒肺炎用药安全手册》," 
　　(抗击新冠肺炎)湖南编成《新型冠状病毒肺炎用药安全手册》

　　中新网长沙3月8日电(向一鹏 钟露苗)湖南省药品监督管理局7日透露，该局根据国家卫生健康委员会发布的《新型冠状病毒肺炎诊疗方案》(试行第七版)，组织专业人员编写了《新型冠状病毒肺炎用药安全手册》并于6日完成，为疫情防控一线医务人员临床安全用药提供参考。

　　上述手册全面汇集相关品种的说明书，以及MCDEX合理用药信息支持系统(根据临床合理用药专业工作对临床信息的需要，开发的一个集成了国内外权威医药信息源的数据库查询软件系统)的相关信息，注意收纳美国食品药品监督管理局、欧洲药品管理局等国外安全警示/用药提醒、相关诊疗指南、专家共识等信息，统计分析近10年内湖南省报告的药械不良反应/事件信息，基本涵盖临床安全用药的各个方面。湖南省药监局将通过快递方式，将手册寄送至该省100余家新冠肺炎防治定点医院。

　　据悉，疫情防控期间，湖南省药监局积极保障防控药品、医疗器械应急审批通道高速运转，全力加强防控用药用械质量安全监管，同时紧急部署加强防控药械不良反应/事件监测，保障防控药械临床使用安全。(完)

 【编辑:张燕玲】 
      ",3-8 09:03,http://www.chinanews.com/gn/2020/03-08/9117537.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:41
国内,中国新闻网,驰援武汉战“疫”满月侧记：“临时家属”成最暖心的亲人," 
　　中新网长沙3月8日电 (严丽 王洁)“疫情无情人有情。就在我人生处于最低谷、最绝望的时候，我住进了武汉协和医院西院重症病房，有幸得到了湘雅医院救援队最好的医生、最好的护士的救治。你们的逆疫而行的无畏精神，为我们在死神面前筑起了一道白色长城，谢谢你们！”在驰援武汉“满月”之际，中南大学湘雅医院第三批医疗队收到了这样一封感谢信。已出院的患者林先生向白衣天使们表达了最真挚的感谢，这也是130名逆行战士们收到的最好礼物。

　　奔赴最危险的地方

　　2月7日，湘雅医院历史上外出执行援助任务规模最大、规格最高的一支医疗队出发了。此行的任务是驰援武汉协和医院西院区重症病房。



中南大学湘雅医院医疗队出征武汉。(资料图) 杨华锋 摄

　　30名医生与100名护士组成的医疗队中，涵盖了呼吸内科、重症医学科、感染科、中西结合科等多个专科，其中医生高级职称占60%，超过70%的队员为党员，其中很多人参加过援塞抗疫等大型公共卫生应急救援。

　　医疗队2月7日晚上到达，第二天下午完成对接并迅速开放第一个病区，同时分出部分医务人员与协和团队一起，在9日下午开放了第二个病区，收治100名重症新冠肺炎患者。

　　身处陌生环境尤其是未知疫情，刚接手病房就是满负荷运转，医疗队的压力着实不小。为应对“战时”应急状态，在领队钱招昕等专家的指导下，医疗队按照湘雅传统成立核心管理团队，实行层级管理，严格落实医疗核心制度，尤其是感染防控制度、交接班制度、三级查房制度、疑难病例讨论制度与死亡病例讨论制度等，病区诊疗工作规范，感控管理严格，秩序井然。

　　救治最危重的患者

　　医疗队收治的重症患者年龄基本都在60岁以上，将近一半是70岁以上，最大的93岁。这些患者或多或少都会合并慢性病，比如高血压、冠心病、老慢支等，还有肾脏功能不全患者，需要长期透析。



湘雅医院的护理老师们就地取材，变身“发明家”解决护理需求。湘雅供图

　　及早治疗、联合会诊、专人负责，作为医疗队医疗组长兼武汉协和医院西院区湘雅重症病房主任，潘频华教授将湘雅在湖南总结出的经验逐步运用到了当前的工作中，并初显成效。密切关注病情变化、尽早选择合适的氧疗模式、及时识别潜在危重症患者、开展重症救治技术、成立临时ICU集中管理、个体化中医辨证施治、就地取材解决护理需求……医疗队想尽一切办法，把患者从死亡线上拉回。

　　一名长期血透患者原本应每周透析3次，因受疫情影响已经停透一周出现严重心衰、呼吸困难，需要紧急施以床旁血液透析治疗(CRRT)。然而，临时借调的血透治疗机型号湘雅医疗队和武汉协和西院都从未用过。患者性命攸关，肾内科主管护师黄忠华和主管护师陈磊当即向工程师索要视频进行自学，穿着厚重的防护服到ICU去寻找缺失的配件。教授肖湘成和副教授彭张哲凭借多年经验为病人定处方，两名护师接到处方反复查对确认无误，随即把机器推到病人床头实行血透，患者明显好转。

　　由于条件有限，护理老师们就地取材，变身“发明家”解决护理需求。自制便壶，解决患者需去厕所小便带来的风险；自制体位垫，解决患者俯卧位通气的体位摆放问题；自制通路标签，解决危重患者管路繁多带来的安全隐患。

　　“临时家属”成最暖心的亲人

　　在疫情肆虐特别时期，病房收治新冠患者的亲属均已隔离，无法与亲人建立有效沟通。湘雅医疗队30多名护士主动与患者结对成临时家属，为他们提供贴心服务、进行心理疏导，协助患者与亲属之间的沟通，解决缺少生活必需品等具体困难。

　　每次上班时，结对护士都去看望自己的“家属”，了解其所想所需。每一名患者有困惑时，都可以向“亲人”倾诉。



贴心的医护人员帮助患者完成爱的告白传递。湘雅供图

　　病区一位老太太的老伴在2楼协和病区重症监护室收治，老伴的状况让她焦虑不已、寝食难安。善解人意的医护人员设法帮她录制一段视频发给领队，领队通过几经“周折”让问候视频顺利送到老伴病床前。随后，护士“接龙”录制了老爷爷看视频的实况传回。老太太看到后紧张情绪渐趋平复，开始积极配合治疗。

　　临时家属成为医患之间人性化的纽带，让大多数患者心态得以调适，摆脱了刚进院时恐惧无助的心理。不少患者出院时，纷纷给“临时女儿”、“临时儿子”写来感谢信。

　　“虽然看不到你的容颜和笑容，但你的行动和你的医德告诉了我，你是这个世界上最美丽，心底最善良的白衣天使……你的一句句暖心、贴心、宽心的问候和关爱，这段时间总在脑海中浮现，所以我要再一次的感谢你，我的临时女儿，永久的亲人！”一位患者感激地说。(完)
 【编辑:张燕玲】 
      ",3-8 09:01,http://www.chinanews.com/gn/2020/03-08/9117536.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:41
国内,中国新闻网,福建援鄂战“疫”中的民主党派身影," 
　　中新网福州3月8日电 (闫旭)截至2月19日，福建省共有31名医卫界民主党派成员奔赴湖北一线支援，“逆行”进发，守护生命，在肆虐无情的疫情背后，给人温暖、给人力量。

　　“不计报酬，无论生死，为国赴难”

　　作为福建省肿瘤医院新型冠状病毒肺炎专家组副组长，民革福建省直省立医院支部党员、福建省肿瘤医院重症医学科副主任叶勇冲锋在前。2月11日，他主动请缨，加入福建省对口支援湖北宜昌防治新型冠状病毒肺炎首批支援队，出征支援宜昌疫情防控。

　　到达驻地次日，叶勇进入宜昌市第三医院重症病房展救治工作。在福建援鄂医疗队正式接管宜昌三院新冠肺炎危重症病区后，叶勇被任命为危重症病区科副主任，并被编入重症专家组。他不分昼夜一头扎进高强度救治工作中，在他和其他队员的共同努力下，有些氧合指数只有40的病人，情况得到改善，度过了危险期。


　　长时间的工作，即使在下雪的天气里仍汗流浃背，短短几天后，叶勇的眼眶下已出现刺痛的红色压痕。

　　“不计报酬，无论生死，为国赴难，造福苍生！机会将至，勇士行；整行装，踏征程，默默无言，唯有足不停……”叶勇的诗歌《情浓二月天》，表达了其作为医务工作者的责任担当。

　　婚礼为疫情让行

　　对于民盟福建省委会盟员、福建中医药大学附属第二人民医院重症室医生李青和他的家人来说，2020年的春节原本是幸福而又忙碌的。2月15日是李青原定的婚礼日期，而突发的新冠肺炎疫情打乱了这一切。

　　1月26日，在接到福建省卫健委和福建中医药大学附属第二人民医院紧急通知后，李青没有丝毫犹豫，第一时间就报名了。从报名到出发，不到一天的时间，李青和同事们带上医疗物资和行李，启程驰援湖北，成为福建第一批“逆行者”之一。

　　李青的父母原本是来福州参加儿子婚礼的，没想到变成了送他上“前线”，但他们理解儿子的选择。李青的未婚妻潘璇也十分理解和支持他的决定。“婚期可以推迟，但抗击疫情一刻也不能耽搁。”潘璇说。

　　到达湖北后，包括李青在内的医疗队轮流倒班，每天查房，收治转运病人，采集咽拭子、肛拭子标本及留取痰液标本，记录病人情况，完善病历文档。

　　在一次采样中，一位确诊的武汉阿姨问李青：“听说你们是福建来的？那你们要待多久？什么时候回去啊？”李青答道：“等你们都好了，我们就可以回去了。”

　　“等到春暖花开、阴霾散去的时候，我想带着父母和未婚妻，尝一尝地道的武汉热干面，去武汉街头欣赏最绚烂的樱花盛放。”李青说。

　　“不是‘逆行’，是‘顺’着职业精神而行”

　　农工党党员、福建医科大学孟超肝胆医院主治医师陈玮也是福建首批援鄂医疗队中的一员，1月27日，大年初三，启程前往武汉。对于这名年轻医生来说，这是一次终生难忘的任务。陈玮利用休息时间，每天将自己在一线工作的情形写成文字，发在微信朋友圈里，形成了一篇篇温暖而坚韧的战“疫”日记。

　　出发前，5岁的儿子问爸爸为什么要去武汉。陈玮回答：“武汉病人很多，武汉的医生看不过来，所以爸爸要去帮忙。”

　　在参加完进驻武汉金银潭医院动员誓师大会后，陈玮写下了这句话：“病毒能往，吾亦能往！病患能往，医护亦能往，纵千万人亦矣！”寥寥数言，尽显医者豪情、勇者无惧。

　　病房里的日子一点也不轻松，光穿脱防护服就多达20多个步骤，且一步都不能错。为尽量避免穿上防护装备后上厕所，从进病房前2小时，一直到下班返回驻地，陈玮常常一整天滴水不进。

　　2月3日，陈玮把福州市总工会的2000元人民币慰问金转给了中国初级卫生保健基金会。他说，“把这笔钱用在更需要的基层群众身上。”

　　“我不喜欢‘逆行’的说法，我们顺着我们的职业精神而行，顺着大众的健康需求而行，顺着心中热爱的事业而行；作为农工党党员需要做的便是与党同心、同向、同行；医护冒风险，是为了更多人不用暴露于风险之中”，陈玮说。

　　湖北方舱医院里的不眠不休“守夜”

　　“若有战，召必回，回必战，战必胜”，这是农工党党员、福建省立医院南院重症医学科副主任医师石松长心中的誓词。2月4日，历时20余小时，石松长和医疗队千里驰援，一起抵达湖北武汉洪山体育馆方舱医院。2月5日一早，所有装备入场，一所病房、检验科、放射科、医生办公室、后勤保障、供电系统等设施完备的战地医院拔地而起。

　　连续三天连续轴转的石松长没有睡过一个整觉。6日凌晨，洪山体育馆方舱医院正式开始接收病人。作为第一批上岗的医生，石松长和三位同事被安排上2月6日凌晨2时至6时的夜班，负责方舱入口的预检分诊工作。

　　因为所有送来的都是确诊患者，没有家人陪伴，石松长不仅仅要负责分诊，还要帮患者搬运行李，护目镜里的雾气形成水滴滴落下来，分不清是汗水还是雾气模糊了双眼。石松长和战友们坚持着，战斗着。换班时，方舱内已经收到了将近500个患者。(完)
 【编辑:张燕玲】 
      ",3-8 08:58,http://www.chinanews.com/gn/2020/03-08/9117531.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:41
国际,央视新闻客户端 ,希腊拘捕冒充整支球队的12名非法移民," 
　　据希腊媒体3月7日报道，前一天下午有12名叙利亚籍的非法移民在雅典国际机场试图乘航班前往奥地利时，遭到希腊警方的拘捕。据介绍，这些非法移民身穿运动装，号称是某体育俱乐部下属的手球队。经查验，警方发现其中的11人所持护照的照片页均已被伪造的文件所替换；另一人所持护照上的智能信息则是属于别人的。另外经过核实，希腊警方还确认这12人并不属于他们所声称的那个体育俱乐部。3月7日，这些涉嫌持假证件集体进行偷渡的非法移民已经被移交到当地检察院。(总台记者 王玉国)

 【编辑:何路曼】 
      ",3-8 08:57,http://www.chinanews.com/gj/2020/03-08/9117549.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:42
社会,中国新闻网,安徽无新增新冠肺炎确诊病例 预计今日病例“清零”," 
　　中新网3月8日电 据安徽卫健委网站消息，2020年3月7日0-24时，安徽省报告无新增确诊病例，无新增疑似病例，新增合肥治愈出院2例。

　　截至3月7日24时，安徽省累计报告确诊病例990例，累计治愈出院病例981例，累计死亡病例6例，累计医学观察密切接触者28453人。目前，在院治疗3例，医学观察444人。

　　3月8日预计治愈出院3例，其中合肥2例，芜湖1例。全省在院新冠肺炎确诊病例将实现全部“清零”，治愈率达99.4%。

　　温馨提示：“清零”不等于零风险。要坚决做到“两个不能降低”：对疫情的警惕性不能降低、对防控的要求不能降低，不获全胜决不轻言成功。

 【编辑:朱延静】 
      ",3-8 08:54,http://www.chinanews.com/sh/2020/03-08/9117547.shtml,http://www.chinanews.com/scroll-news/news2.html,2020-03-08 15:23:42
